Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,NumberOfTimeTotalDelay,isOld,SeriousDlqin2yrs.1,confidence,0 probability,1 probability,my_predict,confusion,error_abs
133069,0,1.081836327,35,3,0.291469194,3375,3,12,1,0,2,15,False,1,0.68078,0.28657,0.71343,1,FP,0.44342999999999994
127279,0,1.445042275,38,0,0.136132316,4715,5,3,0,7,2,10,False,1,0.67071,0.29671,0.70329,1,FP,0.4332899999999999
116004,0,1.680709534,51,1,0.17872969,3384,7,2,0,3,1,6,False,1,0.67071,0.29671,0.70329,1,FP,0.4332899999999999
127019,0,1.214392804,62,2,0.170168465,5282,9,2,0,3,0,7,False,1,0.67071,0.29671,0.70329,1,FP,0.4332899999999999
100314,0,0.992867332,40,4,0.11436478900000001,11200,5,2,1,0,1,6,False,1,0.66937,0.30004000000000003,0.69996,1,FP,0.42995999999999995
148013,0,0.8451007540000001,36,3,0.944527736,2000,7,4,1,1,0,8,False,1,0.66937,0.30004000000000003,0.69996,1,FP,0.42995999999999995
134089,0,0.9999998999999999,45,2,0.39618906200000004,4040,3,2,1,3,2,7,False,1,0.66937,0.30004000000000003,0.69996,1,FP,0.42995999999999995
116889,0,0.999939017,60,1,0.533593281,3333,8,6,1,1,1,8,False,1,0.66937,0.30004000000000003,0.69996,1,FP,0.42995999999999995
84956,0,1.165834166,47,2,440.0,0,3,3,1,2,0,7,False,1,0.66508,0.3016,0.6984,1,FP,0.42839999999999995
89072,0,0.9999998999999999,68,6,1.308752584,1450,8,3,2,3,0,12,False,1,0.66406,0.30447,0.69553,1,FP,0.4255299999999999
91088,0,0.9999998999999999,45,3,0.089255578,10665,2,4,1,0,1,7,False,1,0.65803,0.30986,0.69014,1,FP,0.4201399999999999
139198,0,0.9999998999999999,33,98,0.008055236,3475,0,98,0,98,2,294,False,1,0.6593,0.31018,0.68982,1,FP,0.4198199999999999
124181,0,0.9999998999999999,44,98,0.0,0,0,98,0,98,0,294,False,1,0.6593,0.31018,0.68982,1,FP,0.4198199999999999
