field1,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,NumberOfTimeTotalDelay,isOld,SeriousDlqin2yrs.1,confidence,0 probability,1 probability,my_predict,confusion
5,0,0.9072394,49,1,0.024925695,63588,7,0,1,0,0,1,False,0,0.63347,0.71711,0.28289000000000003,1,FP
20,0,0.602794411,25,0,0.065868263,333,2,0,0,0,0,0,False,0,0.8998200000000001,0.9318799999999999,0.06812,0,TN
27,0,0.052436094,58,0,0.097672186,8333,22,0,1,0,0,0,False,0,0.97585,0.98274,0.01726,0,TN
28,0,0.034421473,69,0,0.042383047,2500,17,0,0,0,1,0,False,0,0.98845,0.9935799999999999,0.00642,0,TN
31,0,0.704073982,28,1,0.155201143,4200,8,0,0,0,0,1,False,0,0.8395600000000001,0.8639100000000001,0.13609000000000002,0,TN
50,0,7.96e-05,70,0,0.256339661,6900,21,1,1,0,0,1,False,0,0.83673,0.8602799999999999,0.13972,0,TN
51,0,0.818977517,73,0,3095.0,0,9,0,1,1,0,1,True,0,0.65755,0.71163,0.28836999999999996,1,FP
61,0,0.651603452,58,0,0.241135663,7783,11,0,1,0,0,0,False,0,0.9310200000000001,0.9481799999999999,0.051820000000000005,0,TN
74,0,0.059668871,31,0,3162.0,0,11,0,2,0,1,0,False,0,0.97014,0.98006,0.01994,0,TN
84,0,0.054497069,56,0,0.492021814,4950,18,0,2,0,0,0,False,0,0.97865,0.9847899999999999,0.01521,0,TN
87,0,0.360509632,58,1,3282.0,0,8,0,2,0,0,1,False,0,0.90161,0.9220799999999999,0.07792,0,TN
89,1,0.734477501,45,0,0.591477634,4716,13,0,2,0,2,0,False,0,0.88841,0.9133600000000001,0.08664,0,FN
93,0,0.784835658,52,0,2662.0,0,10,0,2,1,0,1,False,0,0.71303,0.75615,0.24386,0,TN
96,0,0.24535301,37,0,0.288417167,6500,11,1,1,1,0,2,False,0,0.65212,0.6965,0.3035,1,FP
101,0,0.013024673999999998,61,0,15.0,0,4,0,0,0,0,0,False,0,0.9920700000000001,0.9946799999999999,0.00532,0,TN
114,0,0.006541851,68,0,0.108089191,10000,10,0,2,0,1,0,False,0,0.9943799999999999,0.9967,0.0033,0,TN
123,0,0.297594642,67,0,0.239507959,4145,13,0,0,0,0,0,False,0,0.96267,0.9758700000000001,0.024130000000000002,0,TN
125,0,0.277956679,39,0,4090.0,0,9,0,2,0,0,0,False,0,0.9738100000000001,0.98298,0.01702,0,TN
141,0,0.147996253,55,0,0.323088235,6799,5,0,1,0,0,0,False,0,0.99082,0.9948299999999999,0.00517,0,TN
142,0,0.5765185589999999,72,0,3031.0,0,11,0,1,0,0,0,True,0,0.96616,0.9777600000000001,0.02224,0,TN
172,0,0.9999999,29,0,974.0,0,2,0,0,0,0,0,False,0,0.8394299999999999,0.87402,0.12598,0,TN
173,0,0.16653274,53,0,0.5436259489999999,7506,11,0,3,0,3,0,False,0,0.9426899999999999,0.95583,0.04417,0,TN
175,0,0.13527952,58,0,0.342005076,9455,11,0,2,0,2,0,False,0,0.9868,0.9911399999999999,0.00886,0,TN
176,0,0.16757138900000002,69,0,0.330733853,5000,10,0,1,0,1,0,False,0,0.97755,0.9855,0.0145,0,TN
199,0,0.114869499,35,0,103.0,0,6,0,0,0,0,0,False,0,0.9682799999999999,0.97887,0.02113,0,TN
202,0,0.311954668,61,0,0.269281443,9866,12,0,2,0,2,0,False,0,0.9799899999999999,0.98949,0.01051,0,TN
204,0,0.137609462,49,0,0.429533892,7272,11,0,2,0,0,0,False,0,0.9723700000000001,0.98315,0.01685,0,TN
216,0,0.9999999,50,2,1208.0,0,4,0,1,0,0,2,False,0,0.73351,0.76358,0.23642,0,TN
222,0,0.333060631,52,3,0.7001533740000001,5215,15,0,2,1,0,4,False,0,0.75446,0.78272,0.21728000000000003,0,TN
225,0,0.455950788,63,1,0.701766078,6001,19,0,2,0,0,1,False,0,0.9103899999999999,0.9295200000000001,0.07048,0,TN
227,1,1.953488372,38,0,0.153500141,3556,5,0,0,0,2,0,False,0,0.74382,0.80302,0.19698,0,FN
231,0,0.0,76,0,0.002465931,7704,3,0,0,0,0,0,True,0,0.99336,0.9957799999999999,0.004220000000000001,0,TN
235,0,0.787522133,52,0,0.353860086,4416,12,0,0,0,1,0,False,0,0.88739,0.9162,0.0838,0,TN
236,0,0.0,66,0,3730.0,0,8,0,1,0,0,0,False,0,0.98859,0.9929600000000001,0.00704,0,TN
241,1,0.973339258,61,1,0.209961825,5500,11,0,0,1,1,2,False,0,0.60096,0.65096,0.34904,1,TP
249,0,0.012151003,78,0,0.008886914000000001,4500,12,0,0,0,0,0,True,0,0.99369,0.9958799999999999,0.00412,0,TN
250,0,0.08131073700000001,81,0,0.165566887,3333,4,0,0,0,0,0,True,0,0.996,0.9977299999999999,0.00227,0,TN
255,0,0.112321289,53,0,0.266909775,8500,9,0,1,0,5,0,False,0,0.98924,0.9936299999999999,0.006370000000000001,0,TN
257,0,0.6343270560000001,49,1,0.123125125,15000,7,0,0,0,1,1,False,0,0.8646799999999999,0.88735,0.11265,0,TN
270,0,0.010402205,68,0,0.094140517,3600,6,0,1,0,0,0,False,0,0.9960399999999999,0.9979100000000001,0.00209,0,TN
